Alias,Definition,Context,Context Description
bookmark,"Represents a pointer to some URL, typically a web page. In most cases, bookmarks are specific to a given user and contain metadata chosen by that user. Bookmark Objects are similar in principle to the concept of bookmarks or favorites in a web browser. A bookmark represents a pointer to the URL, not the URL or the associated resource itself. Objects of this type SHOULD contain an additional targetUrl property whose value is a String containing the IRI of the target of the bookmark.",Activity Streams Vocabulary,ActivityType
career,"An outline of jobs and their requirements in a career, usually used to outline the expected learning path",TLA Profile,ActivityType
career state,"An attribute of one service that has distinct competency requirements, levels of mastery, training requirements associated with it",TLA Profile,ActivityType
Category,A further descriptive level for verbs within KSAs.,DOD ISD,"Verbs and extensions for use in creating DOD IMI, per MIL-HDBK-29612-1A."
Category,Activity generally used in the category Context Activities lists to mark a statement as being related to a particular subject area. Distinct from tag in that it is used in conjunction with Subcategory to imply a hierarchy of categorization.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
certificate,A document attesting to the fact that a person has completed an educational course.,TinCan Vocabulary,ActivityType
Chapter,"It's to indicate the chapter this statement is related to, used for ebook in AcrossX.",AcrossX Profile,AcrossX Profile
Chapter,A chapter of a book or e-book.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Chapters,"Chapters are the main divisions of a book, typically numbered or titled, that help organize the content into manageable sections. Each chapter usually focuses on a specific part of the story or subject matter, making it easier for readers to follow and understand the material.",p2881_technical_information,placeholder
Chat Channel,"A channel, room or conversation within an instant chat application such as Slack.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Chat Message,A message sent or received within the context of an instant chat platform such as Slack. The id of this activity should uniquely identify the particular chat message.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Checklist,"A list of tasks to be completed, names to be consulted, conditions to be verified and similar.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Checklist Item,An individual item contained in a checklist.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
class section,"In a hyflex classroom, there are multiple options available, and it's possible to divide one class into multiple sections.",HyFlex classroom profile,ActivityType
CMI Interaction,"An interaction is typically a part of a larger activity (such as an assessment, game, or simulation) and refers to a control to which a learner provides input. An interaction can be either an asset or function independently.",SCORM Profile,"The SCORM profile includes Verbs, Activity Types and xAPI Document definitions used to represent SCORM learning experiences in xAPI."
cmi.interactions,"Interaction activities of ""cmi.interaction"" type as defined in the SCORM 2004 4th Edition Run-Time Environment.",SCORM Profile,SCORM 2004 4th Edition
COA_ID,"A COA ID refers to the unique identifier assigned to a Certificate of Analysis (COA). A COA is a document that verifies a product’s quality, safety, and compliance with specified standards.",RRL_performance_support_video,placeholder
Code Commit,A commit to a code repository e.g. Github.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
collaboration,"The activity involving multiple actors working together on an assignment, a project, a problem-solving challenge or a cause.",AcrossX Profile,ActivityType
Collection,"Represents a generic collection of objects of any type. This object type can be used, for instance, to represent a collection of files like a folder; a collection of photos like an album; and so forth. Objects of this type MAY contain an additional objectTypes property whose value is an Array of Strings specifying the expected objectType of objects contained within the collection. This activity type is included for data conversion with Activity Streams, it's not recommended for use in new Tin Can statements",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Collection,"Represents a generic collection of objects of any type. This object type can be used, for instance, to represent a collection of files like a folder; a collection of photos like an album; and so forth. Objects of this type MAY contain an additional objectTypes property whose value is an Array of Strings specifying the expected objectType of objects contained within the collection. It may also include the extension content-type. This term is recommended for use in place of the deprecated term 'collection' as found in the Activity Streams profile.",Content Repository,"This is a profile for describing content repository items and interactions with content items. These include materials published to CMS, LMS etc. It provides new terms and also alternatives to terms that otherwise are found only in deprecated profiles such as Activity Streams 1.0."
Comment,Represents a textual response to another object. Objects of this type MAY contain an additional inReplyTo property whose value is an Array of one or more other Activity Stream Objects for which the object is to be considered a response.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Community Site,"A space on a social platform (or other platform with social features) for a community to communicate, share and collaborate. For example a Google Plus Community, a Facebook Group, a Jive Space or a Pathgather Gathering.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Competencies_Asserted,"Competencies asserted refers to the specific skills, knowledge, or abilities that an individual claims to possess or has demonstrated. These competencies are often verified through assessments, certifications, or practical experiences",p2881_course_profile,placeholder
competency,"A knowledge, skill, ability, or other object needed to perform in a given task",TLA Profile,ActivityType
concentration,Indicator of how engaged a student is in a hyflex class.,HyFlex classroom profile,ActivityType
Conference,A formal meeting which includes presentations or discussions.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Conference Session,"A single presentation, discussion, gathering, or panel within a conference.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Conference Track,A specific field of study within a conference.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
content set,Any generic collection of activities and/or assessment activities,TLA Profile,ActivityType
controller,A game controller whose input affects the action in an activity. Game controllers are common in non-pc games. This activity represents this device.,Serious Games Profile,placeholder
Cost,"Cost refers to the amount of money required to purchase, produce, or maintain something. It represents the financial expenditure associated with acquiring goods, services, or resources.",p2881_course_profile,placeholder
Course,A course represents an amount of content that is published and registered into with the purpose of gaining completion. It is represented with a Course Structure Format in cmi5 as the highest level of content (above Block and AU).,cmi5 Profile,"This specification describes interoperable runtime communication between Learning Management Systems (LMS) and Assignable Units (AU). The runtime communication and behavior of all parts of the system are carefully described in the full specification, which can be found at https://github.com/AICC/CMI-5_Spec_Current/blob/quartz/cmi5_spec.md . This is a structured representation of cmi5 concepts, statement structure, and statement communications patterns that the additional rules in the full specification build upon and provide the definitive interpretation of."
Course,"A course represents an entire “content package” worth of material. The largest level of granularity. Unless flat, a course consists of multiple modules.",SCORM Profile,"The SCORM profile includes Verbs, Activity Types and xAPI Document definitions used to represent SCORM learning experiences in xAPI."
Course_ID,"Course ID refers to a unique identifier assigned to a specific course within an educational institution or learning management system. It helps in distinguishing one course from another and is often used for registration, tracking, and administrative purposes.",p2881_course_profile,placeholder
Course_URL,"Course URL refers to the specific web address or link that directs users to the online location of a course. This URL provides access to course materials, information, and resources.",p2881_course_profile,placeholder
CourseProviderName,? Wasn't there,p2881_course_profile,placeholder
credential,An authoritative statement that the learner can perform the task.,BOLL Profile,ActivityType
credential,An authrotative statement that the recipient can perform a task,TLA Profile,ActivityType
Credentials_Conferred,"Credentials conferred refers to the official recognition or qualifications awarded to an individual upon the successful completion of a course, program, or certification. These credentials validate the individual’s skills, knowledge, or achievements.",p2881_course_profile,placeholder
Curatr Organisation,An organisation within the Curatr platform. This is a collection of learners and courses.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
cutscene,"A non-interactive scene that can be skipped. A cutscene is a non-interactive scene within the game (e.g., a video, a conversation, an automated sequence). The player can usually skip them pressing some button.",Serious Games Profile,ActivityType
Date_Published,"Date published refers to the specific date on which a learning resource (e.g., a book, article, or other content) is officially made available to the public.",p2881_learning_resource,placeholder
Delivery_Method,"A delivery method refers to the approach or technique used to present and distribute educational content or training to learners. It encompasses various formats such as in-person instruction, online courses, blended learning, and self-paced modules.",p2881_learning_resource,placeholder
Demonstrates,"Demonstrates means to show or make something clear through actions, examples, or evidence. It involves proving or illustrating a concept, skill, or fact in a way that others can understand.",p2881-core,placeholder
Description,"                A description is a text-based detailing or explanation about the characteristics of someone or something. In the context of learning resource, it explains the key features, content, and benefits of the resource. This helps potential users understand what the resource offers and how it can aid their learning. For example, a description might highlight the topics covered, the format of the material, and any unique aspects that make the resource valuable for learners. Description may include an abstract, a table of contents, a graphical representation, or a free-text account of the resource.",p2881-core,placeholder
Device,Represents a device of any sort.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
dialog-tree,"An alternative presented during a conversation with an non-playable character. Dialog trees are a common mechanic in video games, where players can answer questions to NPC. This activity represents that type of alternative.",Serious Games Profile,ActivityType
Discussion,"Represents an ongoing conversation between persons, such as an email thread or a forum topic.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Document,"An electronic document of the type produced by office productivity software such as a word processing document, spreadsheet, slides etc.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Doubt,"Refers to something that the actor needs to cast light on, something that can be answered or solved.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Duration,"Duration refers to the length of time something lasts or continues. It can be used to describe the time span of an event, activity, or condition. For example, if you have a class that is held weekly for 90 minutes over 9 weeks. The duration is 9 weeks. In this example, the Time Required is 810 minutes.",p2881_learning_event,placeholder
duty,An outline of the duties and requirements to perform these duties for a given position,TLA Profile,Derived from job/duty/gig
e-book,"A book in electronic form as a document, file, or interactive application with optional formatting and control features.",AcrossX Profile,ActivityType
Education_Level,"An education level refers to the highest degree or stage of formal education that an individual has completed. It indicates the extent of one’s academic achievements, ranging from elementary education to advanced degrees like a Ph.D.",Target_Audience,placeholder
Email,Electronic message sent over a computer network from a sender to one or many recipients.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Embedded Strategy,Refers to a functionality embedded in the software system to facilitate the implementation of a strategy.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
End_Date,"End date refers to the specific day on which an event, project, or activity concludes. It marks the final day of a period or schedule.",p2881_learning_event,placeholder
enemy,A game object that poses a threat inside the game world. Enemies are common elements in video games. Defeating them indicates a player accomplishment.,Serious Games Profile,ActivityType
Essay,"A short literary composition on a single subject, usually presenting the personal view of the author.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Event,Represents an event that occurs at a certain location during a particular period of time. Objects of this type MAY contain the additional properties specified in Section 3.3.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Event_Schedule,"Event schedule refers to a detailed plan or timetable outlining the dates, times, and sequence of activities or sessions for an event. It provides a structured overview of what will happen and when, helping participants and organizers stay informed and organized.",p2881_learning_event,placeholder
face-to-face-discussion,An exchange or communication on a topic by two or more actors in-person taking place in a physical location.,AcrossX Profile,ActivityType
feedback on class,Actors can submit feedback on the  hyflex class.,HyFlex classroom profile,ActivityType
File,Represents any form of document or file. Objects of this type MAY contain an additional fileUrl property whose value a dereferenceable IRI that can be used to retrieve the file; and an additional mimeType property whose value is the MIME type of the file described by the object.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
File,"A file is similar to a link, only the resource is more likely to be used at a) a different time, b) can be used offline, and/or c) could be used with a different system. Only the expectation changes. Files are not considered learning content or SCOs. If a file is intended for this purpose, it should be re-categorized.",ADL Vocabulary,The ADL vocabulary list includes Verbs and Activity Types used to represent common learning experiences in xAPI.
flashcard,A single flashcard used for retrieval practice or memorization.,Flashcards,ActivityType
flashcard deck,A deck of flashcards used for retrieval practice or memorization.,Flashcards,ActivityType
flight plan,Activities of this type represent the strategy created by the pilot for the flight they're going to take within the simulation such that key tasks provided by the instructor are followed,Example Flight Simulation Profile,ActivityType
flight-operation,an activity type to encompass flying activities which do not fall under other activity types,Flying Profile,ActivityType
Format,"Format refers to the specific structure or arrangement of data within a file, which determines how the information is stored and displayed. Examples of file formats include PDF, DOCX, and JPEG.",p2881_learning_resource,placeholder
Forum Reply,Any post in a forum or discussion board thread that isn't the first.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Forum Topic,The first post in a thread on a forum or discussion board.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Framerate,"Framerate refers to the frequency at which consecutive images, known as frames, are displayed in a video or animation. It is typically measured in frames per second (FPS). A higher framerate results in smoother motion, while a lower framerate can make the video appear choppy.",p2881_technical_information,placeholder
freetext annotation,"Indicates an annotation made to a document of the freetext form. This is a string of text written direction onto the document at a specified location. Freetext annotations can be added anywhere on the page. Unlike note annotations, they have no border or background.",PDF Annotator,ActivityType
Game,Represents a game or competition of any kind.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Game level,A level of a game or gamifed learning platform.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
gig,An outline of the duties and requirements to perform these duties for a given position,TLA Profile,Derived from job/duty/gig
Goal,"A goal is something that the actor wants to achieve, the purpose of doing a task or group of tasks. It can have subtasks and subgoals.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
grade classification,"Represents a grade given or received within a particular context, for example ‘distinction’ within XYZ music test or ‘A’ for ABC qualification.",TinCan Vocabulary,ActivityType
ground-training-assessment,An assessment given as part of a ground training syllabus event,Ground Training,ActivityType
ground-training-lesson,An instructor-led lecture or demonstration that is part of a ground training syllabus event,Ground Training,ActivityType
Group,Represents a grouping of objects in which member objects can join or leave.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
HasAdaptation,"The term HasAdaptation is used to indicate that an item or CreativeWork includes an adaptation of another item or CreativeWork. This relationship highlights that the current work has been modified or adjusted from its original form to fit a new context, format, or audience.",p2881_relationships,placeholder
HasEvent,"The term HasEvent is used to indicate that an item or entity includes or is associated with an event. This relationship helps to specify that the item has one or more events linked to it, providing context and detail about its occurrences or activities",p2881_relationships,placeholder
HasPart,The term HasPart is used to indicate that an item or CreativeWork includes another item or CreativeWork as a component or part of it. This relationship helps to define the composition of complex items by specifying their individual parts.,p2881_relationships,placeholder
HasVersion,"The term HasVersion is used to indicate that an item or CreativeWork has a specific version or edition. This relationship helps to identify and manage different versions of the same item, ensuring clarity and organization in version control.",p2881_relationships,placeholder
highlight video,A video showcasing the actor's outstanding performance during the class.,HyFlex classroom profile,ActivityType
highlighted text annotation,An annotation of the highlight type. Highlights are used to mark strings of text in a document with a color. This activity type should only be used for highlighted text and not for highlighted images or other elements.,PDF Annotator,ActivityType
Hull_Configuration,"Hull configuration refers to the design and arrangement of a boat or ship’s hull, which is the main body of the vessel. This includes the shape, structure, and layout of the hull, which significantly impact the vessel’s performance, stability, and handling characteristics",RRL_performance_support_video,placeholder
Hull_ID,"A Hull ID (Hull Identification Number or HIN) is a unique 12-character serial number assigned to ships or boats. It helps to identify and track each vessel, similar to a Vehicle Identification Number (VIN) for cars.",RRL_performance_support_video,placeholder
Hull_Name,A Hull Name typically refers to the name given to a boat or ship. This name is often displayed on the hull (the main body) of the vessel and is used for identification and registration purposes.,RRL_performance_support_video,placeholder
Image,"Represents a graphical image. Objects of this type MAY contain an additional fullImage property whose value is an Activity Streams Media Link to a ""full-sized"" representation of the image.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Image,"A visual representation of something. It may be used to denote a viewable object such as a drawing, painting or printed image, but may also refer to a digitised file that can be interpreted by image rendering software, for example a file in a format such as gif, png or jpeg.",Content Repository,"This is a profile for describing content repository items and interactions with content items. These include materials published to CMS, LMS etc. It provides new terms and also alternatives to terms that otherwise are found only in deprecated profiles such as Activity Streams 1.0."
Image,"A digital representation of a resource such as a photograph, diagram, or illustration.",Performance Support Profile,The Performance Support Profile was created to identify and standardize the common types of performance support concepts and interactions that can be tracked with xAPI.
image,"A digital representation of a resource such as a photograph, diagram, or illustration.",Performance Support Profile,ActivityType
instant-response-system,An activity that allows instructors to create slides with embedded quizzes/polling questions to collect responses and get reporting instantly during class.,AcrossX Profile,ActivityType
Instructional_Method,"An instructional method refers to the strategies and techniques that educators use to deliver information and facilitate learning in the classroom. These methods can be teacher-centered or student-centered, high-tech or low-tech, and they aim to create an effective and engaging learning environment.",p2881_learning_resource,placeholder
Instructor,"Instructor refers to an individual who teaches or provides guidance in a particular subject or skill. They are responsible for delivering educational content, facilitating learning, and assessing student progress",p2881_course_profile,placeholder
Instructor_Bio,"Instructor bio refers to a brief summary of an instructor’s professional background, qualifications, and achievements. It typically includes information about their education, teaching experience, areas of expertise, and any notable accomplishments.",p2881_course_profile,placeholder
Interaction,An interaction is typically a part of a larger activity (such as assessment or simulation) and refers to a control to which a learner provides input. An interaction can be either an asset or function independently.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Interactivity_Level,"Interactivity level refers to the degree of engagement and interaction between users and a system, content, or environment. It measures how actively users can participate, influence, and receive feedback from the system. Higher interactivity levels involve more dynamic and reciprocal exchanges, such as interactive simulations or real-time feedback, while lower levels might include static content with minimal user input.",p2881_learning_resource,placeholder
Is_Same_As,"“Is Same As” is a term used to indicate that two items, concepts, or entities are identical or equivalent in all relevant aspects.",p2881_relationships,placeholder
IsAdaptationOf,"               The term IsAdaptationOf is used to indicate that an item or CreativeWork is a modified version of another item or CreativeWork. This relationship highlights that the current work has been adapted from the original, often involving changes to fit a new format, audience, or context""",p2881_relationships,placeholder
IsEventOf,The term IsEventOf is used to indicate that an event is associated with or part of a larger item or context. This relationship helps to define how the event fits within a broader framework or system.,p2881_relationships,placeholder
IsPartOf,"The term IsAdaptationOf is used to indicate that an item or CreativeWork is a modified version of another item or CreativeWork. This relationship highlights that the current work has been adapted from the original, often involving changes to fit a new format, audience, or context.",p2881_relationships,placeholder
IsRelatedTo,"The term IsRelatedTo is used to indicate a connection or relationship between two items, entities, or concepts. This relationship can be based on various factors such as function, context, or association.",p2881_relationships,"In the notion of a graph, this is useless because it is implied with any arrow that they are related"
IsRelatedTo_Equipment,"Refers to the specific tools, devices, or machinery used at a designated location to perform a particular procedure.",RRL_performance_support_video,placeholder
IsRelatedTo_Location_Ship_System,"Refers to the specific area or component within a ship where a particular procedure is to be carried out. This term is used to ensure that maintenance, repairs, or operational tasks are performed in the correct location, enhancing efficiency and safety.",RRL_performance_support_video,placeholder
IsRelatedTo_Location_Subsystem,Refers to a specific component or module within a larger system that is responsible for identifying and managing the exact locations where procedures are to be performed.,RRL_performance_support_video,"Rather than get into the hierarchy here, the systems can"
IsRelatedTo_Location_System,"Refers to a framework or method used to identify and specify the exact location where a procedure is to be performed. This system ensures that tasks are carried out in the correct place, enhancing efficiency, safety, and accuracy",RRL_performance_support_video,"Rather than get into the hierarchy here, the systems can"
Issue,"Represents a report about a problem or situation that needs to be resolved. For instance, the issue object can be used to represent reports detailing software defects, or reports of acceptable use violations, and so forth. Objects of this type MAY contain the additional properties specified in Section 3.4.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
IsVersionOf,"The term IsVersionOf is used to indicate that an item or CreativeWork is a version, edition, or adaptation of another item or CreativeWork. This relationship highlights that the current work has undergone substantive changes from the original.",p2881_relationships,placeholder
item,A collectable game object whose use or interaction results in an effect in a game. Items are common elements in video games. Players can collect/use/combine them.,Serious Games Profile,ActivityType
Job,Represents information about a job or a job posting.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Job,An outline of the duties and requirements to perform these duties for a given position.,TLA Profile,"The TLA profile includes Verbs, Activity Types, Extensions, and xAPI document definitions used to represent distributed learning experiences in xAPI."
Job Title,The title of a person's job. May be used with the http://id.tincanapi.com/verb/was-assigned-job-title verb.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Journal Article,"Smaller than a book, an article is devoted to a particular topic and is typically written by a specialist or expert in the subject. These are published in collections (Journals).",Content Repository,ActivityType
Key_Words,"Keywords are specific terms or phrases that capture the essential topics or themes of a document, resource, or piece of content. They are used to facilitate search and retrieval by summarizing the main points in a concise manner",p2881-core,placeholder
keyboard,"A keyboard whose keystrokes affects the action in an activity. Somes games can receive inputs from keyboards: physical keyboards in a PC, or virtual keyboards in a smartphone screen. This activity represent both.",Serious Games Profile,ActivityType
Language,"Language refers to a system of communication used by a particular community or country, consisting of spoken, written, or signed words and the rules for combining them. It enables people to express thoughts, ideas, emotions, and information.",p2881_learning_resource,placeholder
Learning_Event_Type,"Learning Event Type refers to the specific category or classification of a learning activity or experience. It identifies the nature of the event, such as a lecture, workshop, online course, hands-on training, or assessment. This classification helps in organizing and tracking different kinds of learning experiences within an educational or training program.",p2881_learning_event,placeholder
Learning_Outcome,"Learning outcome refers to a specific skill, knowledge, or ability that students are expected to achieve as a result of engaging in a particular educational activity or course. It clearly defines what learners should know, understand, or be able to do by the end of the learning experience.",p2881_course_profile,placeholder
Learning_Resource_Type,"A learning resource is any material or tool used to support and enhance the learning process. These resources can include textbooks, videos, online courses, worksheets, and interactive software. Learning resources help educators convey information effectively and assist learners in understanding and retaining knowledge. A learning resource type refers to the specific category or format of a learning resource. It identifies the nature of the material used to support education and training. Examples of learning resource types include textbooks, videos, interactive software, worksheets, and online courses.",p2881_learning_resource,placeholder
learning-plan,"Used to plan and organize learning activities from different activity providers. It could be built by instructors, learning designers or learners.",AcrossX Profile,ActivityType
Legacy Learning Standard,"Activity representing a statement generated by a course originally implemented in a legacy learning standard such as SCORM 1.2, 2004, or AICC.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
lesson,"A lesson is learning content that may or may not take on the form of a SCO (formal, tracked learning). A lesson may stand-alone or may be part of a larger course.",SCORM Profile,ActivityType
level,A level of a game or of a gamified learning platform. A level is logic partition of progression in any video game. Completing a level means advancing in the progression of the game.,Serious Games Profile,ActivityType
Licensing,"Licensing refers to the process of granting legal permission to an individual or entity to use, produce, or sell a product, service, or intellectual property under specific conditions. This agreement outlines the rights and responsibilities of both the licensor (the one granting the license) and the licensee (the one receiving the license).",p2881_learning_resource,placeholder
Link,"A link is simply a means of expressing a link to another resource within, or external to, an activity. A link is not synonymous with launching another resource and should be considered external to the current resource. Links are not learning content, nor SCOs. If a link is intended for this purpose, it should be re-categorized.",ADL Vocabulary,"This should align with the SCD term ""resourceAssociation"""
LMS,"Learning Management System. At it's core, a platform used to launch and track learning experiences. Many LMS also have a number of other additional features.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
lms-course,"
A course represents an amount of content that is published and registered on an LMS with the purpose of gaining completion.",BOLL Profile,ActivityType
Location,"Location refers to a specific place or position where a something is situated or occurs. It can describe a physical address, a geographical area, or a designated spot within a larger context. For example, the location of a class might be a classroom, a city or country.",p2881_learning_event,placeholder
LRS_Endpoint,"LRS Endpoint refers to a specific URL or address used to send and receive data to and from a Learning Record Store (LRS). An LRS is a system that stores learning records generated by various learning activities, typically in the form of xAPI statements. The endpoint acts as the access point for these interactions, enabling the tracking and retrieval of learning data.",p2881_learning_resource,placeholder
maneuver,A named maneuver completed during a sortie. ,Flying Profile,ActivityType
